date,a,b,c,id
03 Dec 01,-1.395950,0.3658511,-0.139219,id47
10 Dec 01,0.0635834,0.5695323,-2.103450,id48
17 Dec 01,1.3691980,0.4613167,-0.182454,id49
24 Dec 01,-0.849642,-0.143087,1.0978822,id50
31 Dec 01,0.8286167,0.6351664,-0.479894,id51
07 Jan 02,1.3735760,-2.030103,-0.205465,id52
14 Jan 02,0.7040579,-0.045775,-1.975840,id53
21 Jan 02,0.1857259,-0.657037,-0.017403,id54
28 Jan 02,-0.730734,-0.941166,0.3748611,id55
04 Feb 02,-2.452130,-2.448480,0.7851022,id56
11 Feb 02,-0.499369,0.8484074,0.0175972,id57
18 Feb 02,0.7173024,0.6054566,-0.012723,id58
25 Feb 02,-0.191135,0.0612160,-0.593081,id59
04 Mar 02,2.0729664,-0.544393,0.3582210,id60
11 Mar 02,0.8942179,0.2062513,-1.084942,id61
18 Mar 02,0.8752367,1.4419879,0.9792775,id62
25 Mar 02,-0.525527,-1.164889,0.2375346,id63
01 Apr 02,-1.222403,-0.216296,0.6592154,id64
08 Apr 02,0.0910020,2.3100814,2.4616851,id65
15 Apr 02,0.0185858,-0.577592,1.4826156,id66
22 Apr 02,0.4133278,0.0712426,-0.904662,id67
29 Apr 02,-0.151979,0.0555770,0.2969367,id68
06 May 02,0.3314526,-0.207019,-1.574262,id69
13 May 02,-1.565384,0.4397211,-0.310139,id70
20 May 02,-0.965609,-2.056427,0.3290816,id71
27 May 02,0.4513683,1.1365681,-1.634567,id72
03 Jun 02,-0.937170,1.1927771,1.7187862,id73
10 Jun 02,1.2436279,-0.674292,-0.472032,id74
17 Jun 02,-0.356063,-0.304004,-1.415707,id75
24 Jun 02,0.3226874,0.2442027,0.1585797,id76
01 Jul 02,-0.365984,-0.542843,-0.170154,id77
08 Jul 02,0.5475851,0.0814164,0.4830474,id78
15 Jul 02,0.2405640,-0.519793,0.0940386,id79
22 Jul 02,0.3817829,0.1291505,-0.704774,id80
29 Jul 02,1.4334272,-0.534777,-0.097884,id81
05 Aug 02,0.7268083,-1.770865,-0.431674,id82
12 Aug 02,-0.527507,-0.401423,-1.253853,id83
19 Aug 02,-0.645440,-0.383837,-0.249441,id84
26 Aug 02,-0.729152,-1.366337,-0.459693,id85
02 Sep 02,2.3557741,-0.524893,-0.293700,id86
09 Sep 02,1.2733338,1.9863681,-0.371009,id87
16 Sep 02,-0.052053,-0.005284,-1.334305,id88
23 Sep 02,0.2601590,0.4511092,-0.985552,id89
30 Sep 02,-1.278913,0.2917295,0.5867315,id90
07 Oct 02,0.0678503,-1.782833,0.4427356,id91
14 Oct 02,-0.314832,-0.188674,1.8062438,id92
21 Oct 02,-0.169611,-1.398503,-0.160561,id93
28 Oct 02,0.8611628,-0.666537,0.0056154,id94
04 Nov 02,-1.149512,-0.071897,-0.313277,id95
11 Nov 02,-0.604115,2.1048325,-1.074250,id96
18 Nov 02,-0.461368,-0.439890,-0.253612,id97
25 Nov 02,1.3826636,0.8825024,1.0222928,id98
02 Dec 02,0.1984902,1.8192602,0.0765272,id99
